"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'FOB (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,0,39
KH,CAMBODIA,4,1834,4,1834
CN,CHINA,0,0,0,29
EG,EGYPT,0,0,8,8723
FR,FRANCE,0,0,5,326
DE,GERMANY,0,0,500,3944
IN,INDIA,0,0,3,2873
ID,INDONESIA,0,0,375,18383
NL,NETHERLANDS,0,0,23,75628
PK,PAKISTAN,0,0,1,60
SG,SINGAPORE,0,0,9,77297
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,295
AE,UNITED ARAB EMIRATES,0,0,0,60
US,UNITED STATES,0,0,0,58
SUM,SUM,4,1834,928,189549
