"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,40,3602
DK,DENMARK,0,0,24,2010
FR,FRANCE,0,0,3,249
HK,HONG KONG,0,0,2,357
IN,INDIA,0,0,11,888
IT,ITALY,0,0,2,184
KR,"KOREA,REPUBLIC OF",0,0,24,2186
PH,PHILIPPINES,0,0,1,42
ES,SPAIN,25,2371,25,2371
GB,UNITED KINGDOM,0,0,64,5238
US,UNITED STATES,0,0,14,1211
SUM,SUM,25,2371,210,18338
