"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'FOB (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,55,1844
KH,CAMBODIA,0,0,59873,3130110
CN,CHINA,0,0,76000,2134473
FJ,FIJI,0,0,74,310797
DE,GERMANY,0,0,2040,17826
HK,HONG KONG,0,0,1,158
IN,INDIA,128000,2843564,832000,22873616
ID,INDONESIA,0,0,2,2098
IT,ITALY,0,0,74,10114
JP,JAPAN,0,0,5,3388
LA,LAO PDR,420,7632,86134,6253808
MY,MALAYSIA,0,0,23188,347848
MM,MYANMAR,0,0,144,21690
NC,NEW CALEDONIA,0,0,1045,66880
NG,NIGERIA,0,0,15000,850579
PK,PAKISTAN,0,0,14000,387635
SG,SINGAPORE,0,0,1025,39724
CH,SWITZERLAND,0,0,25,331
AE,UNITED ARAB EMIRATES,0,0,74,10114
US,UNITED STATES,0,0,67,7089
VN,VIETNAM,0,0,525,19796
SUM,SUM,128420,2851196,1111351,36489918
