"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'CIF (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'CIF (Baht)')"
CN,CHINA,2940,575617,4940,867160
FR,FRANCE,0,0,2,1376
HK,HONG KONG,0,0,0,2200
IN,INDIA,0,0,436,24764
JP,JAPAN,300,98126,1636,573038
KR,"KOREA,REPUBLIC OF",0,0,2500,407785
MY,MALAYSIA,0,0,3,606
SG,SINGAPORE,0,0,8107,809166
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,20114
AE,UNITED ARAB EMIRATES,0,0,53,22313
SUM,SUM,3240,673743,17687,2728522
